Text,NER
GAN2-gesz-asar,FN
me-li-sza3,FN
bar-rim4(DU)-gu-la,FN
a-bara2-gibil,FN
amar-kiszi17-a2-kam-sal4-la{ki},FN
tu,FN
bar-ra-AN,FN
pu2-bu-...,FN
ku-gara2-lum,FN
akszak2,FN
e2-nig2-IL2,FN
ur-sa6-ga-mu,FN
{d}szara2-gu2-gal-an-ne2-ga2,FN
gudu4-a-za-rum-sza,FN
u4-DU-tur-tur,FN
kar-ansze,FN
ugnim-{d}nansze,FN
su-siki-bu-edin,FN
apin-til-GAN2-kam,FN
e2-gibil4-le-x,FN
gibil4,FN
ur-{d}ig-alim,FN
|LAGABxX|-da-umma{ki},FN
nigin8,FN
asz3-nun-na,FN
gir4-U,FN
a-gar3-gibil,FN
tul2-muszen-nu2,FN
ur-{d}szul-gi,FN
gaba-ki-ak,FN
nigin8-da-ur4,FN
igi-e2-duru5-{d}pi-li-ha,FN
bad3{ki},FN
...-da-gu-la,FN
{d}amar-{d}suen-ki-ag2-{d}nin-gir2-su,FN
ul4-ul4-mah,FN
u2-du-nin-a-ra-ka,FN
KA-...,FN
su3-GAN2-{d}nin-dar-a,FN
a-ka-sahar,FN
a-na-sze-zi,FN
gaba-ki-x,FN
gesztin-na-gu-la,FN
a-pu3-du-du,FN
pisan-{gesz}i3-szub-ba,FN
HAR-me-za-NE,FN
du6-GAN2-NI-...,FN
{d}nin-mar{ki}-in-pa3,FN
du6-gesz-i3-ka,FN
du10-ge-sa6-ga,FN
ma-da-igi-nim-ma,FN
a-bu3,FN
{d}en-lil2(KID-LAL)-le-gar,FN
a-u2-da-gu-la,FN
u2-du-{d}nin-a-ra-li,FN
lam-ri2-gu4-sir2,FN
{d}szu-{d}suen-{d}en-lil2-da-nir-gal2,FN
a-gesztin-ka,FN
da-x-x-na,FN
uku2-nu-ti-il,FN
lugal-ha-ma-ti,FN
a-ra-li,FN
a-sag-du3-du-gu-la,FN
me-gi-il-tum,FN
pu2-ur-im,FN
geszgal-USZ,FN
simug,FN
{d}nin-ur-ti,FN
da-ad,FN
gu2-banda3{da},FN
{d}amar-{d}suen-sza3-amar-ne-{d}nin-gir2-su,FN
nin-igi-x,FN
usz-gid2-da,FN
tir-gaba-gid2-da,FN
{u2}kiszi17-su-nu,FN
UD@g,FN
en-en-nu-lum-ma,FN
uku2,FN
lugal-mi2-us2-sa2,FN
a2-gi4-a,FN
du6-imin-{d}ig-alim,FN
x-tir-ra,FN
sahar-sur,FN
du6-imin,FN
gaba-musz-bi-edin-na,FN
en-nir-zi-an-na,FN
{d}nin-ur4-ra-ka,FN
{d}szara2-ka,FN
{d}szu-{d}suen-maszkim-{d}nin-gir2-su,FN
{d}ba-ba6-tur3-su3,FN
{d}nanna-ar-mu-gi4,FN
i3-gu,FN
ambar-tur-bi,FN
du6-en-zi,FN
am-me-er,FN
pu2-szu-i-ne,FN
{d}szul-gi-x,FN
esz2-dam,FN
ul4-ul4-e2-babbar2,FN
sag-ki-he-gal2,FN
sza-ra-hu-um-ma,FN
e2-{d}nansze-ka,FN
muru13,FN
du6-lugal-sipa,FN
ab-me-lum,FN
gir4-u,FN
gaba-e2-lugal,FN
gaba-{d}nin-ki-ka,FN
a-...,FN
mu-NE,FN
za-ha-din,FN
nun-na,FN
{d}szul-x,FN
elam-e-gar-ra,FN
GAN2-bu-x-x,FN
da-an-da-na,FN
{gi}ma-nu,FN
masz-gan2-szar-ru-um,FN
e2-lugal-ku3-ga,FN
nag-engur,FN
ki-a-nun,FN
musz-bi-an-na,FN
ensi2,FN
a-gesztin-{d}x-...,FN
e2-gi4-gi4-lu,FN
nin-gesz-ul4,FN
zalag-ga-x,FN
ga-ka,FN
a-ka-sahar-gu-la,FN
x-x-...,FN
u2-du-ma,FN
nunuz-u2-ga,FN
gesz-su-edin-x,FN
gibil-{d}nin-dar-a,FN
sza3-szar-ru-ba{ki},FN
u2-szim-{d}ba-ba6,FN
lugal-nam-tar,FN
a-sza3,FN
lu2-bala-sa6-ga,FN
lam-kal,FN
gaba-inim-ma-dingir,FN
me-en-kar2,FN
du6-ba-sza-lum,FN
asalx(|A.GESZ.TU.GAB.LISZ|)-{d}ba-ba6,FN
ambar-sur,FN
e2-da-lu2-kal-la,FN
sza3-ra-hu-um,FN
hi-li-gar,FN
ga2-ni-ab-ba-na,FN
hirinx(KWU318){ki},FN
he-gal2-gu-la,FN
me-en-kar2-a2-ansze-du,FN
ur-nig2-da-mu2,FN
igi-{gesz}kiri6,FN
hi-{d}inanna,FN
{d}en-me-kar2,FN
e-e2,FN
har-ad-za,FN
egir-e2-amar-ka,FN
ambar-a-gug4,FN
igi-u8-udu-a{ki},FN
ME-MUNUS,FN
e-gu2-ru-a,FN
ambar-sur-ra,FN
e-da-an-x,FN
kur-da-lu-lu,FN
dub-ba,FN
APIN-ba-zi,FN
e2-du10-us2,FN
du6-su,FN
ka-ma-ri2{ki},FN
igi-x-ga-ka,FN
en-x-...-x,FN
dur9{ur3}-nita2-gar,FN
a-i3-zu,FN
inim-nisaba,FN
da-sukkal-mah,FN
sag-da-na{ki},FN
zi-lugal,FN
igi-nim-ma-tur,FN
en-e-ka-ba-an-de2-gu-la,FN
gesz-bi-gu2-su3-ra,FN
gaba-ambar-gu4,FN
ki-BAD-ta,FN
GAN2-{gesz}szinig-pa5,FN
u2-ul4-ka,FN
gibil-ka-a,FN
GAN2-ur-gu,FN
da-ze2,FN
u2-da,FN
en-um-i3-li2,FN
gi-tah-ha,FN
{d}amar-{d}suen-{d}szara2-ki-ag2,FN
{d}szara2-x-ka,FN
lugal,FN
ti-ra-asz2-ta-ur-ag2-x,FN
su3-GAN2-tur,FN
a-dalla-GAN2-lu2-{d}szara2,FN
a-ba-a-ge6-i3-gi4-gi4,FN
GAN2-zi,FN
tu7-ad-da-tur,FN
a-sig7-tur,FN
...-zu-...,FN
pu2-da-uz-ga,FN
la2-mah-ka,FN
igi-iri-{d}szu-{d}suen-sipa-i3-si{ki},FN
a-lal3-gu-la,FN
uszurx(|LAL2.TUG2|)-e-nu-me-te-zu,FN
nin-lugal-gaba,FN
an-za-gar2,FN
u2-|KI.KAL|-ga-mu2-a-hu-dar,FN
du6-edin,FN
x-asz2-x,FN
gu2-i7-nun-na,FN
gesz-{kusz}ummux(|EDIN.LAL.A|),FN
za3-bar-nin,FN
x-gesz-gi-tur-x,FN
x-x,FN
BI-gu-la,FN
gibil-{d}na-ru2-a,FN
en-gaba-du8,FN
ad-da,FN
tir-{gesz}ma-nu,FN
dam-ha-zi,FN
x-nu-kusz2,FN
abul-a2-ti,FN
igi-tum3-ma,FN
ta-a-ha-sza,FN
{d}szul-gi-pirig,FN
e-su13-dar,FN
u3-a-du10-ga,FN
u6-a,FN
{gesz}asal2-du3-a,FN
nibru{ki},FN
bar-ra-kar,FN
ama-zi-da,FN
gu4-mul,FN
{d}nin-ildu3,FN
nam-uszur4-a-ni-du10,FN
da-{gesz}kiri6,FN
sag-ta-KU-ru,FN
sza3-za-x,FN
ur-sag-pa-e3,FN
{d}szul-gi-he2-gal2,FN
e2-{d}dumu-zi-da,FN
lu2-kal-la,FN
da-hul2-la,FN
sza-at-ma-dim,FN
{d}en-lil2-e-pa3-da,FN
na-gab2-tum,FN
a-ma-nu,FN
gesztin-na,FN
du6-ku3-sig17,FN
gir4-U{ki},FN
za-banda3{da},FN
KA-SAR,FN
u4-ga-a-am-ka,FN
KU-dim2,FN
ugu2-du-du,FN
u2-kul,FN
szuku-gu-la,FN
gibil-lugal-uszum-gal,FN
nin-x-gal-x-{d}ur-er3-x,FN
ambar-tur,FN
gi-gara2,FN
gid2-da,FN
ugur2-tur-tum,FN
{d}dumu-zi-...,FN
{u2}ad2,FN
ur-ma-ma,FN
u2-|KI.KAL|,FN
{gesz}gigir,FN
i3-sa6-ga,FN
lugal-du6,FN
nin-szu-mah,FN
si-ki-giri3-ki-BAD,FN
sipa-da,FN
gaba-{d}nansze-gar,FN
gar3-mud-igi-ab-ba-sa6-ga,FN
sar-ra-kum,FN
x-szir,FN
din-sila3-de2,FN
i3-zi-na,FN
{gesz}ma:nu,FN
a-ambar-tur,FN
ga2-ansze,FN
bar-za-gin3-ur-tum-ma-al,FN
iri-ni,FN
u3-du10-sukud,FN
e2-dar,FN
u3-a-...,FN
nin-{d}en-lil2-le,FN
inim-ma-AN,FN
GAN2-si-mu,FN
sahar-u2-u2,FN
...-du3,FN
nin10-nu-du3,FN
i-szar-tum,FN
e2-nirx(|MIR.ZA|),FN
a-suhur-gu-la,FN
uku2-nu-ti-ta,FN
a-na-da-hul-engar,FN
du3-igi-iri-u,FN
{d}nin-a2,FN
gi-numun-dub,FN
a-naga-zu,FN
a-ba-gal-{d}en-lil2-la2,FN
e2-duru5-...,FN
e2-nam-du-du,FN
u2-ul4,FN
zi-ir,FN
bad3-iri-na,FN
{d}nin-gir2-su-a2-zi-da-{d}nansze,FN
u2-da-ba-ha,FN
tul2-du,FN
ti-ra-asz2-ta-ur-ag2-...,FN
{d}szu-{d}suen-{d}nanna-in-pa3,FN
du6-...,FN
ulu3-usz,FN
gesz-gi-a,FN
gesztin-ha,FN
u3-sur,FN
a-ba-gal-{d}en-lil2,FN
banda3{da},FN
a-lal2,FN
GAN2-dadag-ga,FN
a-sza3-ar-sza-an-ti-a,FN
e2-nirx(|MIR.ZA|)-u2-tuku,FN
nin-e-ga2-al-ga-ni,FN
apin-ba-zi,FN
inim-ma-dingir-gu-la,FN
e2-gibil4-le-ka-ke4-ne,FN
ur-{d}nin-gir2-su,FN
karx(TE)-{d}inanna,FN
mah,FN
ka-dub-ba,FN
i-szar,FN
sur3-ad6-gu-la,FN
sze-u2-gu4,FN
ma-la-ad,FN
sag-du3-du,FN
{d}nin-sun2-ka-ka,FN
en-nu-lum-ma-{d}nin-gir2-su,FN
masz-silim,FN
har-ra-an-sza,FN
u3-ka-nisaba,FN
du6-ge6-ge6,FN
a-GAN2-nu,FN
banszur-sza3,FN
ga-esz8,FN
ur-nun-na,FN
{d}nansze-gar,FN
a2-na-mu,FN
uku2-nu-ti-ta,FN
apin-ku5-ra2,FN
a-ba-gal,FN
du6-ku3-sig17-ta,FN
ul4,FN
igi-nim-ma-gu-la,FN
u3-da-ur4,FN
HI-gal2,FN
ugur2-e2-gal,FN
ka-gu4-ku6-sag,FN
GAN2-ur-e2,FN
gesz-gi-szudul4-la,FN
u3-zi-ga,FN
e2-gibil4-le-ta,FN
kam-gi-sa6-ga,FN
{gesz}ma-nu-ka,FN
apin-x,FN
a-gar3-tur,FN
sag-bar-sa6,FN
ur-{d}ur3-gal,FN
di3-ma-at-{d}en-lil2-la2-ka,FN
nin-gal-zu-gu-la,FN
u4-ga-a-gesztin,FN
ab-bu-u4,FN
a-hi-a{ki},FN
nin-sag-gal,FN
la-x-DU,FN
gibil-gaba-apin-ba-zi,FN
su3-GAN2-nisaba,FN
ta2-si-hu-um,FN
al-ag-ga,FN
a-sza3-{d}nin-ur4-ra,FN
ur-{d}nin-ti,FN
ur5-gid2,FN
me-lam2,FN
pu2-an-na,FN
ugur2-tur,FN
u2-{gesz}nim,FN
uz-gar,FN
igi-a-x,FN
si-...,FN
e2-sipa-tur,FN
GAN2-ansze,FN
en-du8-du-ba,FN
ab-ba-AN,FN
{d}suen-{d}nanna-in-pa3,FN
a-x,FN
tur,FN
ambar-silim,FN
si-in-gi4-ka,FN
u2-sza-i7,FN
ambar-esz3,FN
e2-mi2-us2-sa2,FN
ki-duru5-dun,FN
ur-za-ba-ba,FN
AN-...,FN
{gesz}x,FN
ni-da-mu,FN
gid2-ur-{d}a-szar2,FN
ugnimx(|KI.SU.LU.SZE3.NIG2.RA|)-{d}nansze,FN
GAN2-...-{d}szara2,FN
nin-a2(DA)-zi-da,FN
sal-le-sa6,FN
gi-dah,FN
su-bi2-tum,FN
{gesz}gesztin-dab5-ba,FN
{d}ba-ba6-nin-a-su,FN
a-gesztin-na,FN
e2-duru5-ba-zi,FN
la-za-wi-us2-sa-a-uri3,FN
la-za-wi-muru13,FN
GIN2-gi-dul9-tur,FN
sahar-dub-ba,FN
uz-u3-...-sa6,FN
lum-ma-da-mu2-a,FN
{d}nin-gir2-su-siskur-zi-da-{d}nansze,FN
si-du8-du-ma,FN
szu-nu-du11,FN
e-sag,FN
a-gar-sag-du3,FN
i3-sum-ma,FN
bara2-si-ga-ka,FN
lugal-us2-sa-ki,FN
uru11-lu2,FN
numun-gu7,FN
ab-bu-u4-da,FN
ku3-{d}ba-ba6,FN
du6-imin-na,FN
KA-gu4-ha-sag-ga2,FN
gu2-erin2-na,FN
{d}szul-gi-re-pa3-da,FN
szu-ur-giri3,FN
gaba-du6-szuba3,FN
gaba-tum-al,FN
{d}nin-sun2,FN
bi2-du11-i3-sa6-tur,FN
u2-da-igi-hu-rim3,FN
{d}nin-ti,FN
a-gug-mu2-da,FN
nin-hal-du3,FN
gir2-gir2-e2-babbar2,FN
tur-ra,FN
szu-na,FN
me-e-lam2,FN
{d}nansze-ga2-ra,FN
e2-duru5-ad-da,FN
ub-lu2-pa3-da,FN
nin-a2-zi-da-gu-la,FN
dingir-ra,FN
u2-du-lu-za-ma-hi,FN
gesz-gi-an-na-tur,FN
lugal-ezem,FN
nin-bi-al-sa6,FN
gi-apin-ku5-ra2,FN
muru13-GAN2-{d}gu-la,FN
igi-e2-duru5-sag-ub3{ki},FN
nam-nun-da,FN
gesz-gi-gal,FN
ki-en-mah-x-du,FN
igi-e2-mah-sze3-{d}an-ne2-ga2,FN
du6-mu-la-ka,FN
gu7-i7-idigna,FN
he-gal2,FN
a-i7-gi7-du,FN
igi-e2-duru5-{d}na-ru2-a,FN
am3-ri2-ma,FN
muru13-ka,FN
be6-li-ha-GAN2-ur-mes,FN
e2-da-sur,FN
us2-gid2-da,FN
szitim-ba-dim2,FN
tul2-le-la-gi4,FN
AN-HAR,FN
a-gar3-gu-la,FN
a-GAN2-ma-an-ti,FN
an-ne2-gar,FN
gar3-mud,FN
ugur2-tur-tur,FN
sipa-de3-ne,FN
{d}nin-gir2-su-a2-zi-da,FN
a-pi4-sal4{ki},FN
ul4-ul4-gin7-U,FN
ha-...,FN
{d}amar-{d}suen-engar-{d}en-lil2-la2,FN
nin-a2-gal,FN
tug2-gesz,FN
pa-e3,FN
u2-du-lu2-sag10,FN
{d}szara2-gin7-engar,FN
{d}x,FN
sza3,FN
nag-x-x,FN
uszur2-da-ur4,FN
lugal-lal3,FN
ambar-tur-{d}nanna-ka-bi,FN
x-ra-za-gin3,FN
sanga-pa-du3,FN
{gesz}szinig-pa5,FN
ur-{gesz}gigir-dam-gar3,FN
gaba-LAGAB,FN
{d}szara2-za,FN
dug-erin2-na,FN
lugal-gaba,FN
geszimmar-du3-a,FN
{d}nin-a2-gal,FN
du6-esz3,FN
a-u2-da-tur,FN
szabra-sa6-ka,FN
gibil-a-egir-igi-e2-mah,FN
KA-...-gal2-la,FN
{d}pa-bil3-sag,FN
nin-e-gu3-de2,FN
gibil,FN
kab-e-gar,FN
ga-...-ka,FN
a-pa4-SIG7,FN
u-gir4,FN
lugal-nam-iri-na,FN
du6-ku3,FN
a-gal,FN
en-{d}nansze,FN
gid2-da-du6-{d}szara2,FN
tur-ra-ki-ag2,FN
PAP-DU-SZID,FN
igi-iri-sag-ga2,FN
gaba-im-x-ga2,FN
{d}amar-{d}suen-ka,FN
a-sal4-{d}ba-ba6,FN
a-iri-ni,FN
a-ama,FN
ba-lu5-mu,FN
ul4-...,FN
|NUNUZ.(KISIM5xGAG)|-{d}inanna,FN
a-gesztin-{d}nin-...,FN
gesz-gi-banda3{da},FN
igi-{d}nin-hur-sag,FN
GAN2-ansze-libir,FN
ensi2-GAN2-{d}en-ki,FN
pu2-szu-mu,FN
lugal-ra-mu-gi4,FN
su7-ku3-sig17,FN
gaba-gu2-edin-na,FN
a2-mi2-igi-e2-duru5-szu-esz18-dar,FN
ab-u5,FN
gaba-a-bu3-du-du,FN
bad3-x,FN
u2-du-lu-za-ma-du10,FN
muru2,FN
e2-szita,FN
gi-gar3,FN
ma-da-szu-na-mu-gi4{ki},FN
lisz-HA-me-x,FN
gi4-uru4,FN
ar2-tir,FN
gaba-gu4-{kusz}suhub2,FN
e2-dar-a,FN
tur-kin-ag-ga,FN
UR-PA,FN
e2-gibil4-le-gu-la,FN
im-ur-{d}szu-{d}suen{ki},FN
ki-ki-sza,FN
zu-ku-um-ma,FN
x-x-NE,FN
x-ig-...,FN
inim-ur-{d}dumu-zi,FN
ur-nigar{gar},FN
da-umma{ki},FN
lugal-du10(AB2)-ga-gal2,FN
lu2-{gesz}pisan-nu-ur3-de3,FN
amar-{gesz}{u2}kiszi17,FN
gu4-gu4-{d}suen,FN
a-ba-sig7-gu-la,FN
a-bi-dab5-ba,FN
a-gesztin-na-pirig-gin7-du-us2-sa,FN
ki-BAD-A-gug4,FN
a-|LAGABxX|-tur,FN
GAN2-gu4-suhub2,FN
ur-sukkal-ka,FN
{gesz}asal,FN
im-lik-{d}szu-{d}suen,FN
gar3-x,FN
{d}szara2-hu-um-ma,FN
la2-en-du8-du,FN
pu2-esir2,FN
sza-at-{d}en-lil2,FN
a-gesztin-gir4-u,FN
ama-ra-ki-ag2-egir-u2-gaba,FN
ki-szul,FN
ki-BAD-ul4-ul4,FN
ub-ISZ-asznan,FN
{gesz}tir-ma-nu,FN
la2-mah-gu-la,FN
{d}inanna-ka-bur,FN
e2-u3-ne,FN
ar-sza-ti-a,FN
GAN2-gu4,FN
sirara6-he2-gal2,FN
mah-...,FN
ur-masz2-lu2,FN
a-u2-da-lu2-sag10,FN
la2-mah,FN
a-di-de3,FN
egir-du6-za,FN
ka-naga,FN
{gesz}gaba-nag-esir2,FN
gu2-i7-idigna,FN
da-...-sal,FN
ki-BAD-a-dah,FN
a2-du-ni,FN
durux(U3),FN
te-szu-i-ne,FN
gar3-...,FN
a-u2-du-lu2-sag10,FN
en-e-ka-ba-an-de2-tur,FN
elam-e-ne,FN
murgu2{ki},FN
{d}nansze-gar-ra,FN
u3-lu2-{d}utu,FN
szar-ra-hu-um,FN
be6-li-x,FN
a-gesztin-u6-lugal-ku3-ga,FN
ku-ki-nig2,FN
a-ba-al-la,FN
in-hul-la-a,FN
du6-asz,FN
uri3-du3-a,FN
u2-du-{d}nin-a-ra-li-sze3,FN
a-gesztin-na-gu-la,FN
a-bu3-ka,FN
a-gu7-du,FN
GAN2-tur,FN
ga2-nun-gi-hu-ru-mu,FN
hi-a-bar,FN
dam,FN
ku-lu2-ka-dim,FN
gi-dah-ha{ki},FN
GAN2-lu2-{d}szara2,FN
gu-la,FN
ka-nisaba,FN
x-ambar,FN
KU-PAD-nig2-du10,FN
da-hul2-la-{d}nansze,FN
du6-{u2}ad,FN
masz-tur-ka,FN
zalag-ga-a-gesztin,FN
du6-lugal-u5-a,FN
GAN2-en-nu,FN
usz-gid2-da-la2-gu2-ka,FN
du6-nunuz-{d}nin-sun2,FN
sza-at-ha-zi,FN
gi-apin-ba-zi,FN
u3-HI-lil,FN
la2-...,FN
nag-...,FN
e2-bil-le-tur,FN
uku2:nu2-ti,FN
a-ba-gal-gu-la,FN
{d}nin-mar{ki}-in-szub,FN
lal3-ha,FN
es3-sa2,FN
sag-{d}nanna-zu,FN
ka-gal2-la,FN
zabar-hu-um,FN
sal-le-sa6,FN
sza-hu-um-ma,FN
hi-ba-ri-tum{ki},FN
ab-bu-u4-gu-la,FN
a-x-a,FN
hi-li-e-gar,FN
kam-sal4-la,FN
hu-rim3,FN
hu-ba-na,FN
ama-dingir-re-ne,FN
geme2-{d}szul-pa-e3,FN
ama-{d}inanna,FN
nin-u2-x-...,FN
ka-ki-du,FN
u2-du-lu2-{d}szara2,FN
a-ba-al,FN
muru13-GAN2-umma{ki},FN
ab2-lu2,FN
du10-gal-gu-la,FN
igi-e2-duru5-lugal-igi,FN
en-ni2-lum-ma,FN
u3-gu2-i7-da,FN
gaba-he-gal2-gu-la,FN
gesz-gi-tur,FN
lugal-ku3-zu,FN
kiszi17-du3-a,FN
a-bu3-du-du,FN
HAR-{gesz}szinig,FN
da-sze-hu-um,FN
{d}nin-ur4-ra-du6-na,FN
ar-sza-ti-a-{d}nansze,FN
{gesz}ma-nu,FN
a-szesz,FN
sag-ta-gur10-a,FN
x-ul4-ul4,FN
gu4-suhub2,FN
ka-ma-ri2,FN
{d}lugal-a2-zi-da,FN
bur-x-...,FN
{gesz}kiri6-zu-ha,FN
isz-dub-ba,FN
KU-dim2-ma,FN
nin-gal-zu-tur,FN
gu2-i7-nun,FN
tur-e2-lugal-{gesz}gigir-re,FN
gaba-kar,FN
GAN2-{d}utu-mu,FN
du6-{gesz}ma-nu,FN
gesz-gi-tur-tur-{d}nanna-edin-na,FN
numun-nag-BI-sun2-zi,FN
a-|ZI&ZI|-sze3-gu-la,FN
szesz-bara2-{d}ne3-eri11-gal,FN
ur-szu-szu-{gesz}tukul,FN
kur-NE-...,FN
a-pa4-gal-{d}en-lil2-la2,FN
du11-ga-x-zi,FN
ambar-a-uri3,FN
e2-gi4-il2,FN
{gesz}tir-gaba-gid2-da,FN
nirx(|MIR.ZA|)-u2-tuku,FN
ugur2-tur-sag-du3,FN
e2-ga-sur,FN
KU-{d}nanna,FN
muru13-asz,FN
sig7-sza-ar-ma-ti,FN
i7-zu-bu,FN
{d}nin-ur4-ra,FN
du6-nunuz,FN
GAN2-banszur,FN
e2-duru5-ku-li,FN
su3-GAN2(E2),FN
a-gesztin-na-dab5-ba,FN
gesz-bi-gesz-e-gar,FN
hub2-e-gar,FN
gigir-x-{d}utu,FN
u2-|KI.KAL|-mu2-x-suh3,FN
umma{ki}-ka,FN
i7-gal-gu-la,FN
ma-da-gir2-su{ki},FN
musz-bi-edin-na,FN
GAN2-e-gi4-lu,FN
en-gaba-DU,FN
gesz-ba-szub-ba,FN
iri-x,FN
e2-da{ki},FN
{d}nin-gir2-su-bad3-iri-na,FN
e2-nirx(|MIR.ZA|)-u2-ni,FN
du6-hi-li-ba,FN
kun-gu-la,FN
tu7-ad-da,FN
nin-inim-gi-na,FN
ambar-ebih{ki},FN
du6-lugal,FN
GAN2-ku-mul,FN
tir-x,FN
in-TUL2,FN
nin-GAN2-zi-urua-bur,FN
pu2-pu2-lu2-masz-gan2{ki}-ke4-ne,FN
sur3-ad6-gaba-gu4,FN
en-gaba-du,FN
ki-ga-li,FN
a,FN
...-nu-du11,FN
du3-du-ka,FN
amar-kiszi17,FN
uszum-gal,FN
nin-tug2-mah,FN
e2-gir-gi4,FN
ma-da-umma{ki},FN
lahtan2,FN
lugal-ku3-ga-ni,FN
gi-dah-ha,FN
{d}en-lil2-mu2-a,FN
a-sag-ub3{ki},FN
GA2-{gesz}i3-szub,FN
szu-nu-kusz2,FN
u3-x-ku-tum,FN
gesz-gi-lugal-igi,FN
tur-an-na,FN
u3-i7-idigna,FN
a-tesz2-ni2,FN
{d}dumu-zi-gu-la,FN
nin-tug2-asz-mah,FN
ga2-sug-ge-hu,FN
gu4-ra2-bi2,FN
|GESZxLU2|-KA-mun,FN
GAN2-{gesz}ab-ki-szah2,FN
x-...-ga,FN
a-gar3-kal-la,FN
sag-ub3{ki},FN
he2-gal2,FN
gu2-gesz-bar,FN
GAN2-GIR3-u3-a-a-egir-GAN2-lu2-{d}szara2,FN
szu-nu-x-KA,FN
nigin8-da-ur4-ra-ka,FN
gu4-suhub2-gu-la,FN
dal-ba-na,FN
gu4-suhub2,FN
ma-sa-...,FN
lu2-{d}utu-a-zu,FN
iri-ul,FN
gesz-gi,FN
u3-{d}ku3-sig17-banda3{da},FN
ub-tir,FN
{d}en-lil2-e-pa3-da-a,FN
igi-{d}gesztin-an-na,FN
zabar,FN
a-gesztin-na-GAN2-|NINDA2xU|-a,FN
igi-iri-...,FN
la-wi,FN
en-nu-{d}nin-gesz-zi-da,FN
uku2-nu-ti-gu-la,FN
esz3-{d}nansze-da-hi-li-e-gar,FN
...-KA,FN
ka-ma-ri2-ka,FN
na-mu,FN
dalla,FN
za3-bar-nin-x,FN
{d}nin-ur4-ra-igi-e2-mah,FN
a-tu-gaba-bar,FN
durux(U3),FN
gesz-i3-ka,FN
ga-GAG,FN
za-ar-ku-bu-um,FN
egir-a-sza3-ga,FN
du6-{d}szara2,FN
gi-du10,FN
a-suhur,FN
sza-ra-hu-um,FN
su3-GAN2,FN
bur-e2,FN
u3-sa6-ga,FN
a2-bala,FN
du8-e-x,FN
an-dim2-dim2-ma,FN
{u2}kisig2,FN
gesz-gi-banda3{da},FN
pu2-si4-mu,FN
lu2-{d}x,FN
a-sag-du3-du-{d}ig-alim,FN
GAN2-lu2-pa3-da,FN
AB{ki},FN
bu3-la,FN
a-{gesz}banszur-ra-ka,FN
e2-AN-...,FN
du6-ga-ka,FN
lu2-{d}nansze,FN
x-zi,FN
e2-bil-le,FN
{u2}ki-numun,FN
ka-sahar,FN
igi-{d}anzu{muszen}-babbar2,FN
igi-{d}ig-alim,FN
gesz-gi-dul9-la-tur,FN
amar-gi7,FN
kar-babbar2,FN
da-du6,FN
erin2-gir2-su{ki}-ka,FN
