Text,NER
tir-ba-bil3{ki},GN
gu2-edin-na{ki},GN
har-da-hi{ki},GN
ki-nu-nir{ki}-ki-du10,GN
larsa{ki},GN
e2-te-na-ka,GN
al-sza-na{ki}-ka-bi,GN
ka-zal-lu{ki},GN
ambar-a-uri3-bi,GN
uru11-a-ta{ki},GN
u3-ru-az,GN
en-ti{ki},GN
ma-ad-ga{ki},GN
ku-mi{ki},GN
ma-ra-ad,GN
ugnimx(|KI.SU.LU.UB2.GAR|){ki},GN
szar-ru-um{ki}-ma,GN
mar2-da{ki}-ka,GN
eren2,GN
unu{ki}-ke4-ne,GN
gir2-su{ki}-bi,GN
ur-szu{ki},GN
da-ri-ba{ki},GN
unu{ki}-ga,GN
susin{ki},GN
sze-sum{ki},GN
du6-lugal-pa-e3{ki},GN
ur-bi2-bi2-lum{ki},GN
ku-ub-la{ki},GN
ne-gi-ne-hu-um{ki},GN
e2-eb2{ki}-a,GN
ambar{ki},GN
a-bi2{ki},GN
erim2-gi-gi-gi{ki},GN
sza-asz-ru{ki}-ba-hul,GN
hi-bi2-la-a-at{ki},GN
si-mu-ur4-um{ki},GN
ki-masz-ga2{ki},GN
iri-sum-bad3{ki},GN
DU-e-ne,GN
mi-da-ah-{u2}urua{a}{ki},GN
gir2-su{ki}-a,GN
ur-bi2-lum{ki}-ka,GN
szi-ma-num2{ki},GN
za-ba-sza-li{ki},GN
zabala3{ki},GN
za-ba-an-ni,GN
ra-bi2{ki},GN
lu-lu-bu-na{ki},GN
musz-bi-an{ki},GN
uri2{ki},GN
gir2-nun-ka,GN
sag-ub3{ki}-a-hu-a,GN
sipa-da-ri2{ki},GN
asz-gi4{ki},GN
sza-gu-du{ki},GN
gu2-eden-na{ki},GN
ki-nu-nir{ki},GN
sag-da-na,GN
za3-tum{ki},GN
si-mu-ru-um{ki},GN
ki-ma-da-sal4-la{ki},GN
mar2-ma-an{ki},GN
ki-en-ki,GN
in-BU{ki},GN
ba-lu-e{ki},GN
isz-zu{ki},GN
nibru{ki}-ka,GN
e2-GAM-GAM{ki},GN
e2-geszbu2{ki},GN
uri5{ki}-a,GN
gir2-nun-ne2,GN
dilmun{ki},GN
mu-ri-iq-ti:id-ni-im,GN
DU-a-mu,GN
{d}iszkur-kar-kar-ra{ki},GN
{d}nin-da-lagasz(|SZIR.BUR|){ki},GN
a-husz{ki},GN
ma-da-ga,GN
ur-bi-lum{ki},GN
ur-lum{ki},GN
um{ki},GN
mar-ha-szi,GN
e2-gibil4-le{ki},GN
lagas{ki}-a(ME),GN
e-ru-ut{ki},GN
hu-bi-um{ki},GN
NE-du8-NE{ki},GN
susa{ki},GN
pa4-sikil-nun{ki},GN
e2-GIR3,GN
szu-ur3-bu{ki},GN
erim2-ze2-ze2-na,GN
tu-tu-ul{ki},GN
unu{ki}-ki-du10,GN
ma2-gan{ki}-a,GN
usz-lu,GN
su-bir5{ki},GN
a-za-ru-um{ki},GN
szu-da-e{ki},GN
ebih{ki}-ka,GN
zi-gum2,GN
IM{ki},GN
gu2-ab{ki}-ka,GN
uru-az{ki},GN
umma,GN
sahar-u2-u2{ki},GN
gu2-edin-na-ke4-ne,GN
lu-lu-bu{ki},GN
gu2-ab-ba-ka,GN
a-ka3-de3,GN
an-sza{ki},GN
sa-x{ki},GN
unu(NINA){ki},GN
ba-bil2-la{ki},GN
kuara{ki},GN
ka-zal-lu{ki}-ka,GN
{gesz}u3-suh5{ki},GN
elam{ki}-ka,GN
zi-kum-ma,GN
ul-luh-i3-si-in{ki},GN
{d}nam2-sag-ub3{ki},GN
uri5{ki}-ma,GN
DU,GN
hu-uh2-nu-ri,GN
ti-ra-asz2{ki},GN
ki-ma-da-sal-la{ki},GN
unu{ki}-x,GN
pa5-en7:ku6,GN
asz2-nun{ki},GN
e2-sag-da-na-ka,GN
A-AN-ri2-ma{ki},GN
an-sza-an-na{ki},GN
an-sza-an{ki}-na,GN
gir2-nun-na,GN
nibru{ki}-x,GN
mar-da-ma-an{ki},GN
szi-ma-nu-um{ki}-ke4-ne,GN
ga-esz3,GN
tum-al,GN
ki-en-gi,GN
sza-asz-ru-um{ki},GN
da-gur10-ra{ki},GN
ki-ma-da-sal4-la,GN
giri3-gid2-da{ki},GN
ki-isz-ga-ti{ki}-me-esz2,GN
an-sza{ki},GN
ma-ra-ad{ki},GN
ma-da{ki},GN
{d}szi-ma-asz-ki,GN
mar2-ra-ad{ki},GN
u3-za-ar-ba-ri2-ik{ki},GN
hi-li-ab-zu,GN
PA-gur,GN
a-za-ru-um-da-num2,GN
e2-mar-za{ki}-ka,GN
nina{ki}-ka,GN
e2{ki},GN
i-szum-ma{ki},GN
sa-bu-um-ma,GN
mar2-ad-da{ki},GN
sa-bu-um{ki}-ka,GN
pi4-sal4{ki},GN
gab2-la-asz{ki},GN
zu-ur-ba-ti{ki},GN
dingir-nina{ki},GN
mu-ur2{ki},GN
i3-si-in-na{ki},GN
sza-hu-a-an{ki},GN
i-szur6{ki},GN
eresz2{ki},GN
ki-es2-sa2{ki},GN
gar-zi3-da{ki},GN
u3-ru-az{ki},GN
zabala4{ki},GN
si-ti-ir-sza{ki},GN
ma2-gan{ki}-da,GN
ti-im-KU-KU,GN
tir-ba-bil3-la{ki},GN
akszak{ki},GN
an-sa-an{ki},GN
tu-tu-ub{ki}-me-esz2,GN
unu{ki}-ka,GN
u3{ki},GN
ga-sza3-ru-um{ki},GN
ki-masz{ki(SZE3)},GN
sza-szu2-ru-um{ki},GN
erim2-gi-gi-na{ki},GN
ki-na-mu-sza,GN
urum2{ki},GN
uri5{ki}-ma-tusz-a,GN
bu-us2{ki},GN
unu{ki}-ga-ka,GN
te-da-e{ki},GN
{d}inanna-unu{ki},GN
eb-la,GN
asz2-nun-na{ki}-ka,GN
{d}utu-lagasz{ki}-a,GN
SU-mu,GN
{d}amar-{d}suen{ki},GN
u8-udu{ki},GN
a-e-bar,GN
{d}nin-mar{ki}-ab2-lu,GN
uru11{ki}-x,GN
uri5{ki}-ma-ka,GN
ma-ri2,GN
e2-nam,GN
szu-ru-ud-hu-um{ki}-ma,GN
ha-sza-an-me-gara2{ki},GN
babilax(|DIN.TIR|){ki},GN
szar-ru-um{ki}-ke4-ne,GN
{d}nansze-si-mu-ur4-um{ki},GN
hu-rim3{ki},GN
masz-e-pa3-da-ki,GN
hu-uh2-nu-ri{ki},GN
ta2-szi-il{ki},GN
ti-sa-ga{ki},GN
si-mu-ru-um,GN
uri5{ki}-ma-ga,GN
gi-sza{ki},GN
ni-a-mi-isz{ki},GN
bad3-szar-ru-um{ki},GN
gar3-ne-ne{ki},GN
gir2-su{ki}-ka-ni,GN
DU-na,GN
NI-HI{ki},GN
an-sza{ki},GN
isin2{ki},GN
dilmun,GN
dilmun-na,GN
e2-gibil4-le,GN
ha-an-bu-uz{ki},GN
lu-A{ki},GN
SU-na,GN
mu-ru-um{ki},GN
SU-A,GN
dingir-zabala3{ki},GN
e2-sag-da-na,GN
szu-ru-ud-hu-um{ki},GN
szimaszki{ki},GN
lagasz{ki}-ka,GN
ka-sahar{ki}-ke4-ne,GN
iri-ku3-ga,GN
gu-sza,GN
kar2-har{ki},GN
e2-te-na{ki},GN
gar2-szum{ki},GN
sza-bar-ba-la-az{ki},GN
zi-da-ah-re{ki},GN
{d}nin-gir-gi4-lu{ki},GN
sahar{ki}-a,GN
lugal-mar2-da,GN
szar-ru-szar{ki},GN
bar-ma-an{ki},GN
umma{ki}-x,GN
kar-zi-da{ki},GN
zi-ma-hu-la{ki},GN
ma-da-sal4-la{ki},GN
akszak2{ki},GN
a-pi2-ak{ki}-ka,GN
si-ga-an{ki},GN
kar-sag-ka,GN
sza-asz-szu2-ru-um,GN
hur-ti{ki},GN
a-ga-de3,GN
da-lagasz{ki},GN
hu-ub-ni{ki},GN
|BAD3.AN|{ki},GN
u3-da-ga{ki},GN
e2-bar6-bar6{ki},GN
ba-nir{ki},GN
u-pi5-um{ki},GN
mar-da-ma-ni{ki},GN
uri2{ki}-ma-ka,GN
ti-ra-asz{ki},GN
mar2-da{ki},GN
idigna-da,GN
LU2-SU,GN
a-gaz{ki},GN
ba(IGI)-ra-ah-szi{ki},GN
giri3-gi4-lu{ki},GN
a-szur5{ki},GN
ia3-da-u3{ki},GN
hu-uh2-nu-ri{ki}-ke4-ne,GN
zaq-tum,GN
en7-ku6{ki},GN
ur2-na{ki},GN
hu-bu-um{ki},GN
gar3-ne-ne{ki}-me-esz2,GN
unu{ki}-sze3(TUG2),GN
uri5{ki}-se3,GN
uri5{ki}-ma-gin7-nam,GN
ga2-nun-na,GN
a-sa3-ru-um-da-gi{ki},GN
igi-nim-ma,GN
ni-da-ra-asz-pi2{ki},GN
du8-du8-li{ki},GN
iri-du3{ki},GN
nina{ki}-du10,GN
gesz-da,GN
erim2-ze2-ze2-na{ki},GN
du8-da-szu-in{ki},GN
{d}da-lagasz(|SZIR.BUR|){ki},GN
szu-il2-la{ki},GN
unu{ki}-ne-ne,GN
lu-lu-bum2,GN
mu-ki-isz{ki},GN
e2-szah2{ki}-ka,GN
kam-sal4-la{ki},GN
gi-gi-ib-ni{ki},GN
ba-ba-az{ki},GN
gara2-szum{ki},GN
ad-da{ki},GN
{d}nin-mar{ki}-asz,GN
tab-la-la{ki}-me-esz2,GN
tal-musz{ki},GN
babila2{ki},GN
sa-bu-um-ma-ka,GN
{u2}urua{a}{ki},GN
sza-at-da-na-sza{ki},GN
zi-bi2-re{ki},GN
su-NIG2-sze3{ki},GN
DU-a-bi,GN
pa4-tibira{ki},GN
bi-na-ra-tum{ki},GN
uri5{ki}-ka,GN
a-e-bar{ki},GN
gir2-su,GN
umma{ki},GN
mu-ri-iq-ti-i3-di3-ni-im,GN
suh-gibil-du3-a,GN
da-sal4-la{ki},GN
a-bi2-ba-na{ki},GN
tab-ru{ki},GN
gi4-uri,GN
pu-ut-sza-dar{ki},GN
ki-masz{ki},GN
tal-musz-sza{ki},GN
ugnim(KI.SU.LU.UB2){ki},GN
gu2-du8-a,GN
bara2-si-ga{ki},GN
ia3-a-ab-ru{ki},GN
gu2-ur2-gu-la{ki},GN
ha-bu-um{ki},GN
a-pi4-sal4{ki}-x,GN
ia3-ab-ra-at{ki},GN
HA{ki},GN
szuszin{ki}-ka-da,GN
gu3-du8-a{ki},GN
he2-szu-um-ma{ki},GN
ti-id-ni-im,GN
ma2-gan,GN
szu-sa-hu-um{ki},GN
ga2-nun-na{ki},GN
dab6-ru-um{ki},GN
lu-lu-bu,GN
i7-da{ki},GN
ug3-sa6-ga{ki},GN
ki-na-mu-sza{ki},GN
za-bu,GN
um-mu-lum{ki},GN
gu-ma-ra-szi{ki},GN
bi2-na{ki},GN
ne-be2-ru-um{ki},GN
ni-da-ra-asz-PI{ki},GN
su3-GAN2{ki},GN
da-lugal{ki},GN
a2-sun2{ki},GN
uri5{ki},GN
uri5{ki}-ma-a,GN
sir2-ra{ki}-ka,GN
a-pi5-sal4{ki},GN
kar2-har,GN
AB-...,GN
szurupak{ki},GN
gu2-eden-na,GN
bi2-tum{ki},GN
a-ka3-de3{ki},GN
ha-szu-an-num{ki},GN
e2-unu{ki}-ge,GN
i-du-lu5,GN
babila2-ma{ki},GN
...-X-a,GN
uri2{ki}-x,GN
uri5{ki(SZA3)},GN
BAD3-AN{ki},GN
ka-sahar,GN
u3-ra-um{ki},GN
szuruppak,GN
|PU3.SZA|-isz-da-gan,GN
ga-esz-sza,GN
amar-ka,GN
bad3{ki},GN
du6-mu-ru-la{ki},GN
pa5-hal-li2{ki},GN
ha-ar-si{ki},GN
gu5-ti-um{ki},GN
szuruppak(|KUR.RU.SU|){ki},GN
ka-sahar{ki},GN
ga-esz{ki},GN
ab2{ki},GN
esz3-nun{ki},GN
ir-ha-an,GN
i-mi-lum,GN
gu2-edin-na,GN
elam-ne,GN
hi-bi2-la-ti{ki},GN
sahar{ki},GN
uri5{ki}-ma-x,GN
ga-esz3{ki},GN
iri-sag-rig7{ki},GN
gesz-banda3{da}{ki},GN
szimaszki2{ki}-me-esz2,GN
me-luh-ha{ki},GN
lagas{ki},GN
du6-kar-sag-ka,GN
szimaszki2{ki},GN
ma-ak-ra-tum{ki},GN
ki-ga-li{ki},GN
gar3-szum,GN
uri5{ki}-la,GN
an-sza-an{ki}-ta,GN
u-pi5{ki},GN
i-szum{ki},GN
ur-bi-i3-lum{ki},GN
ma-da-za-ab-sza-li{ki},GN
iri-sa12-rig7{ki}-ka,GN
ur-sag-ub5{ki},GN
tum-al(TA),GN
szuruppak(|KUR.RU.SU|){ki}-ka,GN
uri5{ki}-ma-ke4-ne-ka,GN
ka-zal-lu-ka{ki},GN
zimbir{ki},GN
u2-za-ar-da-gi{ki},GN
sal-la-NE-wi{ki},GN
zi-da-ah-ri{ki},GN
KA-e3{ki},GN
amar-ma-an{ki},GN
bar-ba-na-zu{ki},GN
ki-masz{ki}-ke4-e-ne,GN
ugnimx(|SU.KI.LU.SZE3.KI|){ki},GN
szuszin{ki},GN
1/2(asz@c),GN
gir2-nun-ta-ke4-ne,GN
si2-mu-dar{ki},GN
ha-hu{ki}-da,GN
an-sza-na{ki},GN
bar-bar-ra-hu-ba{ki},GN
al-asz{ki}-ra,GN
sza-asz-ru-um,GN
elam-a,GN
en-kur-ki,GN
u2-ra-e{ki},GN
za-ul{ki},GN
sa-bu-um{ki},GN
{d}szara2-a-pi4-sal{ki},GN
gar3(SZA)-szum{ki},GN
{d}utu{ki},GN
si-ri{ki},GN
lu-lu{ki},GN
i-mi-lum{ki},GN
e2-sag-da-na{ki},GN
uri2{ki}-ma,GN
si-ri,GN
lu-lu-bu-um{ki},GN
TAG-ti-um{ki},GN
mar-ha-szi{ki}-ke4-ne,GN
ga-esz-sza{ki},GN
ba-bil{ki},GN
ki:nu-nir{ki},GN
dur-masz{ki},GN
gir2-su{ki},GN
|PU3.SZA|-isz-{d}da:gan,GN
za-u2-ul{ki},GN
nibru{ki},GN
kuara,GN
zu2-ur2-ba{ki},GN
NE-du8-hul-li9{ki},GN
|PU3.SZA|-da-gan,GN
elam-ma,GN
an-za-gar3-dub-sar{ki},GN
hirinx(KWU318),GN
kin-ki-bur-ra{ki},GN
e2-nam-lah5{ki},GN
{d}ne3-eri11-gal{ki},GN
si-um,GN
gu-ti-um,GN
sza-zi-bi2{ki}-ka,GN
unug,GN
u-pi5-ka,GN
szi-ig-sza-bi{ki},GN
szakir{ki},GN
AD{ki},GN
ma-an-hi-li,GN
KI-AN{ki},GN
su-sin2{ki},GN
e2-te-na-ka,GN
uri5(AB)-ma{ki},GN
ne-hu-ne{ki},GN
iri-sa12-rig7,GN
za-ab-sze-na{ki},GN
umma{ki}-a,GN
du8-du8-li9{ki},GN
|BAD3.AN|{ki}-ka,GN
ma-ha-zum{ki},GN
urub{ki},GN
mu-ri-ig-ti-id-ni-im,GN
uri2{ki}-ki-du10,GN
gu2-edin-na-ka,GN
ze2-ti-AN{ki},GN
in-szi-ni{ki},GN
lagasz{ki}-ki-du10,GN
bu-ba-e{ki},GN
za-ab-sza-li{ki},GN
IM-ni,GN
ma2-gibil-la-ka,GN
ma-da-kisz{ki},GN
sza-asz-ru{ki}-ka,GN
ambar-lagasz{ki},GN
u2-lum-ma{ki},GN
{d}dumu-zi-ki-nu-nir{ki},GN
lu2-isin2{si}{ki},GN
marad2{ki},GN
zi-gum2-ma,GN
dingir-tu-ama,GN
a-pi4-sal4-la{ki},GN
du10-szi{ki},GN
ba-szim-e{ki},GN
ar-ma-nim{ki},GN
gu2-ab-ba{ki}-ka,GN
du8-du8-li2{ki},GN
zu2-lum{ki},GN
du6-sir2-ra{ki},GN
eridu{ki}-ga,GN
sza-asz-ru{ki},GN
uru-sag-rig7{ki},GN
bad3-dab5-ra{ki},GN
{d}szara2-umma{ki},GN
nina{ki}-bi,GN
ne-be2-er-{d}szul-gi{ki},GN
ki-es3-sa2{ki}-bi,GN
uri5,GN
eridu,GN
u2-ru-ha-lam{ki},GN
ma-ri2{ki}-a,GN
ia3-bi-bu-um{ki},GN
nim-ze2-um{ki},GN
tum-ma-al,GN
ma-ra-ad{ki}-ka,GN
sal4-la{ki},GN
u3-da-ga,GN
...-ba-bi{ki},GN
